ckpt_tag	subset	loss	ckpt	wandb_url
K16A	doc013	2.452610731124878	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/x4nixwpy
K12A	doc013	2.372390031814575	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/s8tm5c8i
K16A	doc015	2.5921595096588135	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/pfmsbfyj
K12A	doc015	2.548189640045166	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/jx84at9i
A_doc000	doc000	2.9178621768951416	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-03-continual_am_sparse/3b88e5fe-0f75-410e-bccb-b52156c418a3/cache-after-doc-000-ae4e8fb7.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/peuorz7z
A_doc000	MTfull	3.7445480823516846	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-03-continual_am_sparse/3b88e5fe-0f75-410e-bccb-b52156c418a3/cache-after-doc-000-ae4e8fb7.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/285tmhxs
A_doc009	doc009	3.7725119590759277	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-36-continual_am_sparse/26143677-d8eb-439f-9de0-9cd1dd9a9998/cache-after-doc-000-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/70jt3tw8
A_doc009	MTfull	3.578338861465454	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-36-continual_am_sparse/26143677-d8eb-439f-9de0-9cd1dd9a9998/cache-after-doc-000-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/un1upqz5
A_doc011	doc011	4.3348774909973145	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-16-17-continual_am_sparse/a03304bb-6915-4fa3-8423-bb501474e061/cache-after-doc-000-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/p2rbb5vm
A_doc011	MTfull	3.602464437484741	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-16-17-continual_am_sparse/a03304bb-6915-4fa3-8423-bb501474e061/cache-after-doc-000-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/sx3czzi1
A_doc013	doc013	3.49471378326416	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-02-continual_am_sparse/b015c98c-2ffc-4db7-a140-3d247d1d361c/cache-after-doc-000-152f42ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/45fb98bf
A_doc013	MTfull	3.669527292251587	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-02-continual_am_sparse/b015c98c-2ffc-4db7-a140-3d247d1d361c/cache-after-doc-000-152f42ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/7e7ifwtg
A_doc015	doc015	3.895472288131714	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/zaiqoudm
A_doc015	MTfull	3.631312608718872	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/qzho1bfa
A_doc015shuf	doc015	4.111840724945068	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-18-15-continual_am_sparse/a8b85325-6d0b-43fb-9f83-be6f83a65a0d/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9x3q9ym0
A_doc015shuf	MTfull	3.5837366580963135	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-18-15-continual_am_sparse/a8b85325-6d0b-43fb-9f83-be6f83a65a0d/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/zt9fchyq
K16B	doc000	1.856566071510315	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-23-35-continual_am_sparse/5ff66d3f-84dc-466e-b539-d2ef01a53785/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1j8su0va
K12B	doc000	1.8510336875915527	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-23-35-continual_am_sparse/5ff66d3f-84dc-466e-b539-d2ef01a53785/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/xku1nyxj
